Quais são as quatro <b>formas de conhecimento</b> estudadas?	Conhecimento <b>comum (senso comum)</b>, <b>teológico</b>, <b>filosófico</b> e <b>científico</b>.	Metodologia::UnidadeI
O que caracteriza o <b>conhecimento comum (senso comum)</b>?	Baseia-se em <b>opiniões, crenças e nos sentidos</b>; é <b>assistemático, superficial, falível</b> e não universal. Quer <b>persuadir</b>, não ensinar, e não se preocupa em provar.	Metodologia::UnidadeI
Por que o senso comum <b>não é universal</b>?	Porque depende das <b>condições sociais e históricas</b> de cada grupo (varia de cultura para cultura, de região para região).	Metodologia::UnidadeI
O que caracteriza o <b>conhecimento teológico</b>?	Baseia-se na <b>fé</b> e na <b>revelação</b> (textos sagrados, tradição). Admite a tradição como verdadeira e <b>não a questiona</b>.	Metodologia::UnidadeI
O que caracteriza o <b>conhecimento filosófico</b>?	Baseia-se na <b>razão e na reflexão</b>; é <b>especulativo</b> e <b>dedutivo</b> (parte de ideias e conceitos, usando experiências, e não experimentação).	Metodologia::UnidadeI
O que é o <b>conhecimento científico</b>?	O conhecimento que resulta de <b>investigação metódica e sistemática</b> da realidade, trabalhando com <b>hipóteses verificáveis</b>.	Metodologia::UnidadeI
Quais as <b>características do conhecimento científico</b>?	<b>Real</b> (lida com fatos), <b>contingente</b> (validado pela experiência), <b>sistemático</b>, <b>verificável</b>, <b>falível</b> (inacabado) e <b>aproximadamente exato</b>.	Metodologia::UnidadeI
Por que o conhecimento científico é <b>falível</b>?	Porque é um produto <b>inacabado</b>, em permanente construção: aceita reformulações e pode ser revisto por novas evidências.	Metodologia::UnidadeI
Como se classificam as ciências?	Em <b>formais</b> (lidam com abstrações: matemática, lógica) e <b>factuais/empíricas</b>, divididas em <b>naturais</b> (física, química, biologia...) e <b>humanas/sociais</b> (sociologia, economia, história...).	Metodologia::UnidadeI
O que são as <b>ciências formais</b>?	As que lidam com <b>abstrações</b> (ideias), cujos argumentos <b>dispensam experimentos</b>. Ex.: matemática e lógica.	Metodologia::UnidadeI
Diferença entre ciências factuais <b>naturais</b> e <b>humanas</b>.	<b>Naturais</b>: operam com dados da natureza (física, biologia...). <b>Humanas/sociais</b>: estudam o homem e sua vida em sociedade (sociologia, economia, história...).	Metodologia::UnidadeI
O que é <b>pesquisa teórica</b> (pura)?	Aquela que busca <b>enriquecer a teoria</b> (complementar, confirmar ou modificar uma teoria). Em geral é bibliográfica ou documental.	Metodologia::UnidadeI
O que é <b>pesquisa empírica</b> (aplicada)?	Aquela que busca uma <b>solução prática</b> para um problema, coletando <b>dados da experiência</b> (ex.: teste de uma vacina, entrevistas).	Metodologia::UnidadeI
O que é <b>pesquisa</b>, segundo Gil?	O <b>processo formal e sistemático</b> de desenvolvimento do método científico, cujo objetivo é descobrir respostas para problemas.	Metodologia::UnidadeI
O que ensina o <b>mito da caverna</b> (Platão) para a ciência?	Que o <b>conhecimento científico se opõe à aparência</b> (às 'sombras' do senso comum): é preciso superar as ilusões dos sentidos para alcançar a realidade.	Metodologia::UnidadeI
O que é um <b>resumo</b>?	Uma <b>paráfrase</b>: apresentação <b>sintética das ideias principais</b> de um texto, na ordem do original e <b>sem juízo de valor</b>.	Metodologia::UnidadeII
O que é <b>paráfrase</b>?	Reescrever uma ideia <b>com as próprias palavras</b> (não basta trocar uma ou outra palavra; exige leitura e reflexão).	Metodologia::UnidadeII
Quais os <b>tipos de resumo</b>?	<b>Indicativo/descritivo</b> (não dispensa a leitura do original), <b>informativo/analítico</b> (dispensa a leitura do original) e <b>crítico</b> (que é a resenha).	Metodologia::UnidadeII
O que é um <b>fichamento</b>?	O registro em <b>fichas</b> (bibliográfica, de leitura, de ideias, de citações) para <b>sistematizar e arquivar</b> informações de uma pesquisa.	Metodologia::UnidadeII
O que é uma <b>resenha</b> e como difere do resumo?	É um <b>texto crítico</b>, mais abrangente que o resumo: além de resumir, <b>inclui avaliação e juízo de valor</b> sobre a obra.	Metodologia::UnidadeII
O que é um <b>seminário</b>?	A apresentação de um trabalho sob a forma <b>oral (verbal)</b>, que pode ser <b>individual ou em grupo</b>.	Metodologia::UnidadeII
O que é uma <b>citação indireta</b>?	A <b>paráfrase</b> da ideia de um autor (com as próprias palavras), <b>sem aspas</b>, indicando (SOBRENOME do autor, ano).	Metodologia::UnidadeII
Como se faz uma <b>citação direta de até 3 linhas</b>?	Transcreve-se o trecho <b>entre aspas</b>, incorporado ao corpo do texto, indicando (AUTOR, ano, <b>página</b>).	Metodologia::UnidadeII
Como se faz uma <b>citação direta com mais de 3 linhas</b>?	Com <b>recuo de 4 cm</b> da margem esquerda, <b>fonte menor</b>, espaçamento simples e <b>sem aspas</b>.	Metodologia::UnidadeII
Quando se usa a expressão <b>et al.</b>?	Quando a obra citada tem <b>mais de três autores</b> (cita-se o primeiro seguido de 'et al.').	Metodologia::UnidadeII
O que significa <b>apud</b> em uma citação?	'Citado por': indica uma <b>citação de citação</b> (você cita um autor a partir da obra de outro, sem ter lido a fonte original).	Metodologia::UnidadeII
Quais normas da ABNT regem citações e referências?	A <b>NBR 10520</b> (citações) e a <b>NBR 6023</b> (referências).	Metodologia::UnidadeII
O que é <b>intertextualidade</b>?	As <b>referências que um texto faz a outros textos</b>. No trabalho acadêmico, ela se materializa nas citações.	Metodologia::UnidadeII
