Qual é o <b>4º grande debate</b> das RI?	<b>Positivismo x pós-positivismo</b> (também racionalistas x reflexivistas), nos anos 1980. É um debate <b>epistemológico</b>: discute a forma de estudar, não só o tema.	TeoriasContempRI::UnidadeI
Diferencie <b>ontologia</b>, <b>epistemologia</b> e <b>metodologia</b>.	<b>Ontologia</b>: o objeto que se estuda. <b>Epistemologia</b>: como o conhecimento é construído. <b>Metodologia</b>: os métodos e técnicas de investigação.	TeoriasContempRI::UnidadeI
O que caracteriza o <b>positivismo</b> nas RI?	Método único das ciências naturais (Comte), neutralidade, fatos separados de valores; busca <b>explicar</b> e prever a realidade. Neorrealismo e neoliberalismo são positivistas.	TeoriasContempRI::UnidadeI
O que caracteriza o <b>pós-positivismo</b>?	Conjunto de teorias que veem a realidade como <b>construção social</b>; criticam universalismo, linearidade e neutralidade; buscam <b>compreender</b>, não explicar. Trocam metanarrativas por micronarrativas.	TeoriasContempRI::UnidadeI
O que são <b>metanarrativas</b> e <b>micronarrativas</b>?	<b>Metanarrativas</b>: grandes relatos totalizantes tidos como verdade única. <b>Micronarrativas</b>: verdades parciais, relacionais e circunstanciais que os pós-positivistas propõem.	TeoriasContempRI::UnidadeI
Onde surge a <b>teoria crítica</b> e com quem?	Na <b>Escola de Frankfurt</b> (releitura do marxismo). O termo aparece com <b>Horkheimer</b> (<i>Teoria tradicional e teoria crítica</i>, 1937).	TeoriasContempRI::UnidadeI
Qual a contribuição de <b>Gramsci</b> para a teoria crítica?	O conceito ampliado de <b>hegemonia</b> = consentimento + coerção (não só força material), e a <b>contra-hegemonia</b> das classes subalternas.	TeoriasContempRI::UnidadeI
Qual a frase-síntese de <b>Robert Cox</b>?	"Toda teoria é feita <b>por alguém</b>, <b>para alguém</b> e com <b>algum propósito</b>". Não existe teoria neutra.	TeoriasContempRI::UnidadeI
Diferencie <b>teoria de solução de problemas</b> e <b>teoria crítica</b> (Cox).	<b>Solução de problemas</b>: aceita a ordem vigente e suas instituições. <b>Teoria crítica</b>: questiona as origens dessa ordem e busca transformá-la.	TeoriasContempRI::UnidadeI
Para Cox, a <b>estrutura histórica</b> é formada por quais três categorias?	<b>Capacidades materiais</b>, <b>ideias</b> e <b>instituições</b> (em determinação mútua).	TeoriasContempRI::UnidadeI
Qual a tese central do <b>construtivismo</b>?	A realidade internacional é <b>socialmente construída</b>: as <b>ideias e identidades</b> importam tanto quanto as condições materiais.	TeoriasContempRI::UnidadeI
Quem cunhou o termo <b>construtivismo</b> nas RI?	<b>Nicholas Onuf</b>, em <i>World of our making</i> (1989).	TeoriasContempRI::UnidadeI
Qual a frase de <b>Alexander Wendt</b> que resume o construtivismo?	"<b>A anarquia é o que os Estados fazem dela</b>" (1992). A anarquia não impõe conflito ou cooperação a priori.	TeoriasContempRI::UnidadeI
O que é <b>coconstituição</b> (construtivismo)?	Agentes e estrutura se constituem <b>mutuamente</b>: a estrutura molda os atores, mas os atores também moldam a estrutura.	TeoriasContempRI::UnidadeI
Relação entre <b>identidades</b> e <b>interesses</b> no construtivismo.	As <b>identidades precedem os interesses</b>: um ator só sabe o que quer depois de saber quem é. Identidades são construídas na interação.	TeoriasContempRI::UnidadeI
Quais as <b>três culturas de anarquia</b> de Wendt?	<b>Inimizade</b> (hobbesiana), <b>rivalidade</b> (lockiana) e <b>amizade</b> (kantiana). Ex.: 5 ogivas norte-coreanas assustam mais os EUA que 500 britânicas.	TeoriasContempRI::UnidadeI
Como <b>Lyotard</b> define a pós-modernidade?	Como a <b>incredulidade nas metanarrativas</b> (<i>A condição pós-moderna</i>, 1979).	TeoriasContempRI::UnidadeI
Quais conceitos <b>Baudrillard</b> traz?	<b>Simulacro</b> e <b>hiper-realidade</b>: a cópia/encenação substitui o real; mais informação e menos sentido.	TeoriasContempRI::UnidadeI
O que é a <b>desconstrução</b> de Derrida?	Avaliar os limites de uma construção desmontando-a; crítica aos <b>binarismos</b> hierárquicos (logocentrismo) como progresso/atraso.	TeoriasContempRI::UnidadeI
O que são <b>regimes de verdade</b> (Foucault)?	Os discursos escolhidos e reproduzidos como verdadeiros. <b>Poder e saber</b> andam juntos: quem tem poder de nomeação define o que é verdade.	TeoriasContempRI::UnidadeI
O que caracteriza o <b>pós-estruturalismo</b>?	Recusa as fronteiras fixas que delimitam o conhecimento; vê a teoria como parte da realidade que ela influencia. Usa a <b>genealogia</b> (Foucault) e a desconstrução.	TeoriasContempRI::UnidadeI
Qual a tese do <b>pós-colonialismo</b>?	As relações de poder coloniais (binarismo colonizador-colonizado) <b>persistem mesmo após a independência</b>; busca uma reescrita descentrada das narrativas imperiais.	TeoriasContempRI::UnidadeII
